hour_of_day,n_isps,mp_GE,mp_IB,mp_GN,mp_HC,mean_p_actual
1,297,0.39003367003367007,7.074915824915825,1.528922558922559,-0.1478787878787877,73.22478114478115
2,297,-0.009966329966329993,6.58959595959596,1.4096632996632996,-0.06993265993265972,68.85828282828282
3,297,-0.3383838383838382,6.490707070707071,1.2855555555555558,0.03276094276094294,65.81777777777776
4,297,-0.3285185185185182,7.3524242424242425,1.7835016835016837,0.5238047138047139,63.62444444444446
5,297,-0.11838383838383827,7.9953535353535345,2.385824915824916,1.1959595959595961,62.52599326599327
6,297,-0.291111111111111,8.243804713804714,2.2578451178451178,1.2476430976430979,61.787676767676764
7,897,-0.3404124860646601,7.600144927536232,2.1235340022296545,0.6466666666666666,145.3615050167224
8,701,-0.24873038516405147,10.214793152639087,2.728088445078459,0.7590870185449355,71.34820256776034
9,701,-0.14639087018544944,10.065477888730385,2.4780313837375174,0.7318972895863051,69.9472182596291
10,701,-0.34540656205420844,10.366918687589159,2.969429386590585,0.884650499286733,55.15097004279601
11,701,-0.1711554921540656,9.040342368045648,2.9141512125534947,1.0259201141226817,39.9972610556348
12,701,-0.139771754636234,7.986533523537802,2.41114122681883,0.7515977175463622,31.958045649072755
13,701,-0.2204279600570614,7.7203566333808835,2.4525392296718973,0.8359914407988588,28.976790299572038
14,701,-0.2614978601997149,7.627532097004279,2.5194436519258203,0.8959058487874465,28.04035663338088
15,701,-0.27427960057061346,7.236676176890157,2.0770185449358065,0.816833095577746,27.369828815977176
16,701,-0.2994436519258201,7.312867332382311,1.7198573466476463,0.7428958630527819,28.810356633380888
17,701,-0.32534950071326685,8.815863052781742,0.9732097004279603,0.8773038516405136,36.40008559201141
18,701,-0.544079885877318,9.434236804564907,-1.8597574893009983,0.8885734664764623,46.38938659058488
19,701,-0.17228245363766043,10.308544935805992,-2.608844507845934,0.9456062767475034,56.73128388017119
20,701,-0.0648216833095577,10.426747503566334,-4.556205420827389,0.7969614835948644,66.44885877318116
21,701,-0.3484165477888729,10.307674750356634,-6.010313837375178,0.6656633380884452,74.91910128388017
22,701,-0.18148359486447935,10.430813124108417,-6.107132667617689,0.6950927246790299,77.99087018544935
23,701,-0.2379600570613409,10.58169757489301,-4.823808844507846,0.857517831669044,73.40459343794579
24,701,-0.4297574893009982,10.863195435092724,-1.2296148359486447,0.8842938659058489,69.62154065620541
