date,period,p_actual,p_synth,market_power_eur_mwh,year,month_id
2024-06-01,1,0.0,0.0,0.0,2024,6
2024-06-01,2,0.0,0.0,0.0,2024,6
2024-06-01,3,0.0,0.0,0.0,2024,6
2024-06-01,4,0.0,0.0,0.0,2024,6
2024-06-01,5,0.0,0.0,0.0,2024,6
2024-06-01,6,0.0,,,2024,6
2024-06-01,7,0.0,,,2024,6
2024-06-01,8,0.0,,,2024,6
2024-06-01,9,0.0,,,2024,6
2024-06-01,10,0.0,0.0,0.0,2024,6
2024-06-01,11,0.0,0.0,0.0,2024,6
2024-06-01,12,0.0,0.0,0.0,2024,6
2024-06-01,13,0.0,0.0,0.0,2024,6
2024-06-01,14,0.0,0.0,0.0,2024,6
2024-06-01,15,0.0,0.0,0.0,2024,6
2024-06-01,16,0.0,0.0,0.0,2024,6
2024-06-01,17,0.0,0.0,0.0,2024,6
2024-06-01,18,0.0,0.0,0.0,2024,6
2024-06-01,19,0.0,0.0,0.0,2024,6
2024-06-01,20,0.0,,,2024,6
2024-06-01,21,0.0,,,2024,6
2024-06-01,22,0.0,,,2024,6
2024-06-01,23,0.0,,,2024,6
2024-06-01,24,0.0,,,2024,6
2024-06-02,1,0.0,0.0,0.0,2024,6
2024-06-02,2,0.0,0.0,0.0,2024,6
2024-06-02,3,0.0,0.0,0.0,2024,6
2024-06-02,4,0.0,0.0,0.0,2024,6
2024-06-02,5,0.0,0.0,0.0,2024,6
2024-06-02,6,0.0,,,2024,6
2024-06-02,7,0.0,,,2024,6
2024-06-02,8,0.0,,,2024,6
2024-06-02,9,0.0,,,2024,6
2024-06-02,10,0.0,0.0,0.0,2024,6
2024-06-02,11,0.0,0.0,0.0,2024,6
2024-06-02,12,0.0,0.0,0.0,2024,6
2024-06-02,13,0.0,0.0,0.0,2024,6
2024-06-02,14,0.0,0.0,0.0,2024,6
2024-06-02,15,0.0,0.0,0.0,2024,6
2024-06-02,16,0.0,0.0,0.0,2024,6
2024-06-02,17,0.0,0.0,0.0,2024,6
2024-06-02,18,0.0,0.0,0.0,2024,6
2024-06-02,19,0.0,0.0,0.0,2024,6
2024-06-02,20,0.0,,,2024,6
2024-06-02,21,0.0,,,2024,6
2024-06-02,22,0.0,,,2024,6
2024-06-02,23,0.0,,,2024,6
2024-06-02,24,0.0,,,2024,6
2024-06-03,1,0.0,0.0,0.0,2024,6
2024-06-03,2,0.0,0.0,0.0,2024,6
2024-06-03,3,0.0,0.0,0.0,2024,6
2024-06-03,4,0.0,0.0,0.0,2024,6
2024-06-03,5,0.0,0.0,0.0,2024,6
2024-06-03,6,0.0,,,2024,6
2024-06-03,10,0.0,,,2024,6
2024-06-03,11,0.0,,,2024,6
2024-06-03,12,0.0,,,2024,6
2024-06-03,13,0.0,,,2024,6
2024-06-03,14,0.0,,,2024,6
2024-06-03,15,0.0,,,2024,6
2024-06-03,16,0.0,,,2024,6
2024-06-03,17,0.0,,,2024,6
2024-06-03,18,0.0,,,2024,6
2024-06-03,19,0.0,,,2024,6
2024-06-03,20,0.0,,,2024,6
2024-06-03,21,0.0,,,2024,6
2024-06-03,22,0.0,,,2024,6
2024-06-03,23,0.0,,,2024,6
2024-06-03,24,0.0,,,2024,6
2024-06-04,1,0.0,0.0,0.0,2024,6
2024-06-04,2,0.0,0.0,0.0,2024,6
2024-06-04,3,0.0,0.0,0.0,2024,6
2024-06-04,4,0.0,0.0,0.0,2024,6
2024-06-04,5,0.0,0.0,0.0,2024,6
2024-06-04,6,0.0,,,2024,6
2024-06-04,9,0.0,,,2024,6
2024-06-04,10,0.0,,,2024,6
2024-06-04,11,0.0,,,2024,6
2024-06-04,12,0.0,,,2024,6
2024-06-04,13,0.0,,,2024,6
2024-06-04,14,0.0,,,2024,6
2024-06-04,15,0.0,,,2024,6
2024-06-04,16,0.0,,,2024,6
2024-06-04,17,0.0,,,2024,6
2024-06-04,18,0.0,,,2024,6
2024-06-04,19,0.0,,,2024,6
2024-06-04,20,0.0,,,2024,6
2024-06-04,21,0.0,,,2024,6
2024-06-04,22,0.0,,,2024,6
2024-06-04,23,0.0,,,2024,6
2024-06-04,24,0.0,,,2024,6
2024-06-05,1,0.0,0.0,0.0,2024,6
2024-06-05,2,0.0,,,2024,6
2024-06-05,3,0.0,,,2024,6
2024-06-05,4,0.0,,,2024,6
2024-06-05,5,0.0,,,2024,6
2024-06-05,10,0.0,,,2024,6
2024-06-05,11,0.0,,,2024,6
2024-06-05,12,0.0,,,2024,6
2024-06-05,13,0.0,,,2024,6
2024-06-05,14,0.0,,,2024,6
2024-06-05,15,0.0,,,2024,6
2024-06-05,16,0.0,,,2024,6
2024-06-05,17,0.0,,,2024,6
2024-06-05,18,0.0,,,2024,6
2024-06-05,19,0.0,,,2024,6
2024-06-05,20,0.0,,,2024,6
2024-06-05,21,0.0,,,2024,6
2024-06-05,22,0.0,,,2024,6
2024-06-05,23,0.0,,,2024,6
2024-06-06,1,0.0,0.0,0.0,2024,6
